Dataset Name: cbp
  Category: 1986/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1987/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1988/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1989/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1990/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1991/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1992/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1993/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1994/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1995/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1996/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1997/cbp, File Size: 4091 bytes, variables length: 22
  Category: 1998/cbp, File Size: 4282 bytes, variables length: 23
  Category: 1999/cbp, File Size: 4282 bytes, variables length: 23
  Category: 2000/cbp, File Size: 4282 bytes, variables length: 23
  Category: 2001/cbp, File Size: 4282 bytes, variables length: 23
  Category: 2002/cbp, File Size: 4282 bytes, variables length: 23
  Category: 2003/cbp, File Size: 4282 bytes, variables length: 23
  Category: 2004/cbp, File Size: 4282 bytes, variables length: 23
  Category: 2005/cbp, File Size: 5522 bytes, variables length: 29
  Category: 2006/cbp, File Size: 5522 bytes, variables length: 29
  Category: 2007/cbp, File Size: 5522 bytes, variables length: 29
  Category: 2008/cbp, File Size: 5887 bytes, variables length: 31
  Category: 2009/cbp, File Size: 6297 bytes, variables length: 33
  Category: 2010/cbp, File Size: 6297 bytes, variables length: 33
  Category: 2011/cbp, File Size: 6263 bytes, variables length: 33
  Category: 2012/cbp, File Size: 376586 bytes, variables length: 28
  Category: 2013/cbp, File Size: 376677 bytes, variables length: 29
  Category: 2014/cbp, File Size: 376855 bytes, variables length: 29
  Category: 2015/cbp, File Size: 376677 bytes, variables length: 29
  Category: 2016/cbp, File Size: 376677 bytes, variables length: 29
  Category: 2017/cbp, File Size: 380407 bytes, variables length: 28
  Category: 2018/cbp, File Size: 378370 bytes, variables length: 28
  Category: 2019/cbp, File Size: 377193 bytes, variables length: 28
  Category: 2020/cbp, File Size: 377193 bytes, variables length: 28
  Category: 2021/cbp, File Size: 385999 bytes, variables length: 28
  Category: 2022/cbp, File Size: 392885 bytes, variables length: 28
Dataset Name: cps/basic/apr
  Category: 1989/cps/basic/apr, File Size: 153742 bytes, variables length: 238
  Category: 1990/cps/basic/apr, File Size: 153742 bytes, variables length: 238
  Category: 1991/cps/basic/apr, File Size: 153742 bytes, variables length: 238
  Category: 1992/cps/basic/apr, File Size: 153976 bytes, variables length: 237
  Category: 1993/cps/basic/apr, File Size: 153976 bytes, variables length: 237
  Category: 1994/cps/basic/apr, File Size: 369770 bytes, variables length: 349
  Category: 1995/cps/basic/apr, File Size: 370481 bytes, variables length: 350
  Category: 1996/cps/basic/apr, File Size: 373919 bytes, variables length: 353
  Category: 1997/cps/basic/apr, File Size: 373420 bytes, variables length: 352
  Category: 1998/cps/basic/apr, File Size: 381700 bytes, variables length: 363
  Category: 1999/cps/basic/apr, File Size: 381201 bytes, variables length: 362
  Category: 2000/cps/basic/apr, File Size: 383093 bytes, variables length: 364
  Category: 2001/cps/basic/apr, File Size: 383093 bytes, variables length: 364
  Category: 2002/cps/basic/apr, File Size: 383125 bytes, variables length: 364
  Category: 2003/cps/basic/apr, File Size: 403714 bytes, variables length: 366
  Category: 2004/cps/basic/apr, File Size: 403583 bytes, variables length: 365
  Category: 2005/cps/basic/apr, File Size: 403386 bytes, variables length: 357
  Category: 2006/cps/basic/apr, File Size: 408115 bytes, variables length: 364
  Category: 2007/cps/basic/apr, File Size: 411717 bytes, variables length: 365
  Category: 2008/cps/basic/apr, File Size: 411717 bytes, variables length: 365
  Category: 2009/cps/basic/apr, File Size: 421927 bytes, variables length: 378
  Category: 2010/cps/basic/apr, File Size: 423267 bytes, variables length: 379
  Category: 2011/cps/basic/apr, File Size: 427197 bytes, variables length: 379
  Category: 2012/cps/basic/apr, File Size: 427227 bytes, variables length: 379
  Category: 2013/cps/basic/apr, File Size: 406171 bytes, variables length: 380
  Category: 2014/cps/basic/apr, File Size: 411605 bytes, variables length: 387
  Category: 2015/cps/basic/apr, File Size: 406260 bytes, variables length: 381
  Category: 2016/cps/basic/apr, File Size: 406290 bytes, variables length: 381
  Category: 2017/cps/basic/apr, File Size: 406290 bytes, variables length: 381
  Category: 2018/cps/basic/apr, File Size: 406320 bytes, variables length: 381
  Category: 2019/cps/basic/apr, File Size: 406320 bytes, variables length: 381
  Category: 2020/cps/basic/apr, File Size: 423127 bytes, variables length: 392
  Category: 2021/cps/basic/apr, File Size: 423692 bytes, variables length: 396
  Category: 2022/cps/basic/apr, File Size: 423722 bytes, variables length: 396
  Category: 2023/cps/basic/apr, File Size: 421203 bytes, variables length: 397
  Category: 2024/cps/basic/apr, File Size: 421088 bytes, variables length: 397
Dataset Name: cps/basic/aug
  Category: 1989/cps/basic/aug, File Size: 153742 bytes, variables length: 238
  Category: 1990/cps/basic/aug, File Size: 153742 bytes, variables length: 238
  Category: 1991/cps/basic/aug, File Size: 153742 bytes, variables length: 238
  Category: 1992/cps/basic/aug, File Size: 153976 bytes, variables length: 237
  Category: 1993/cps/basic/aug, File Size: 153976 bytes, variables length: 237
  Category: 1994/cps/basic/aug, File Size: 369770 bytes, variables length: 349
  Category: 1995/cps/basic/aug, File Size: 371328 bytes, variables length: 352
  Category: 1996/cps/basic/aug, File Size: 373919 bytes, variables length: 353
  Category: 1997/cps/basic/aug, File Size: 373420 bytes, variables length: 352
  Category: 1998/cps/basic/aug, File Size: 381700 bytes, variables length: 363
  Category: 1999/cps/basic/aug, File Size: 381201 bytes, variables length: 362
  Category: 2000/cps/basic/aug, File Size: 383093 bytes, variables length: 364
  Category: 2001/cps/basic/aug, File Size: 383093 bytes, variables length: 364
  Category: 2002/cps/basic/aug, File Size: 383125 bytes, variables length: 364
  Category: 2003/cps/basic/aug, File Size: 403714 bytes, variables length: 366
  Category: 2004/cps/basic/aug, File Size: 398437 bytes, variables length: 355
  Category: 2005/cps/basic/aug, File Size: 406922 bytes, variables length: 361
  Category: 2006/cps/basic/aug, File Size: 408115 bytes, variables length: 364
  Category: 2007/cps/basic/aug, File Size: 411717 bytes, variables length: 365
  Category: 2008/cps/basic/aug, File Size: 411717 bytes, variables length: 365
  Category: 2009/cps/basic/aug, File Size: 421927 bytes, variables length: 378
  Category: 2010/cps/basic/aug, File Size: 423267 bytes, variables length: 379
  Category: 2011/cps/basic/aug, File Size: 427197 bytes, variables length: 379
  Category: 2012/cps/basic/aug, File Size: 405298 bytes, variables length: 378
  Category: 2013/cps/basic/aug, File Size: 406171 bytes, variables length: 380
  Category: 2014/cps/basic/aug, File Size: 411493 bytes, variables length: 387
  Category: 2015/cps/basic/aug, File Size: 406260 bytes, variables length: 381
  Category: 2016/cps/basic/aug, File Size: 406290 bytes, variables length: 381
  Category: 2017/cps/basic/aug, File Size: 406290 bytes, variables length: 381
  Category: 2018/cps/basic/aug, File Size: 406320 bytes, variables length: 381
  Category: 2019/cps/basic/aug, File Size: 406320 bytes, variables length: 381
  Category: 2020/cps/basic/aug, File Size: 423127 bytes, variables length: 392
  Category: 2021/cps/basic/aug, File Size: 423692 bytes, variables length: 396
  Category: 2022/cps/basic/aug, File Size: 420863 bytes, variables length: 396
  Category: 2023/cps/basic/aug, File Size: 421203 bytes, variables length: 397
  Category: 2024/cps/basic/aug, File Size: 424216 bytes, variables length: 401
Dataset Name: cps/basic/dec
  Category: 1989/cps/basic/dec, File Size: 153742 bytes, variables length: 238
  Category: 1990/cps/basic/dec, File Size: 153742 bytes, variables length: 238
  Category: 1991/cps/basic/dec, File Size: 153742 bytes, variables length: 238
  Category: 1992/cps/basic/dec, File Size: 153976 bytes, variables length: 237
  Category: 1993/cps/basic/dec, File Size: 153976 bytes, variables length: 237
  Category: 1994/cps/basic/dec, File Size: 369770 bytes, variables length: 349
  Category: 1995/cps/basic/dec, File Size: 373912 bytes, variables length: 353
  Category: 1996/cps/basic/dec, File Size: 373919 bytes, variables length: 353
  Category: 1997/cps/basic/dec, File Size: 373420 bytes, variables length: 352
  Category: 1998/cps/basic/dec, File Size: 381700 bytes, variables length: 363
  Category: 1999/cps/basic/dec, File Size: 383061 bytes, variables length: 364
  Category: 2000/cps/basic/dec, File Size: 383093 bytes, variables length: 364
  Category: 2001/cps/basic/dec, File Size: 383093 bytes, variables length: 364
  Category: 2002/cps/basic/dec, File Size: 383125 bytes, variables length: 364
  Category: 2003/cps/basic/dec, File Size: 403792 bytes, variables length: 366
  Category: 2004/cps/basic/dec, File Size: 398437 bytes, variables length: 355
  Category: 2005/cps/basic/dec, File Size: 408083 bytes, variables length: 364
  Category: 2006/cps/basic/dec, File Size: 406954 bytes, variables length: 361
  Category: 2007/cps/basic/dec, File Size: 411717 bytes, variables length: 365
  Category: 2008/cps/basic/dec, File Size: 411717 bytes, variables length: 365
  Category: 2009/cps/basic/dec, File Size: 421927 bytes, variables length: 378
  Category: 2010/cps/basic/dec, File Size: 423267 bytes, variables length: 379
  Category: 2011/cps/basic/dec, File Size: 427197 bytes, variables length: 379
  Category: 2012/cps/basic/dec, File Size: 405298 bytes, variables length: 378
  Category: 2013/cps/basic/dec, File Size: 406171 bytes, variables length: 380
  Category: 2014/cps/basic/dec, File Size: 411493 bytes, variables length: 387
  Category: 2015/cps/basic/dec, File Size: 406260 bytes, variables length: 381
  Category: 2016/cps/basic/dec, File Size: 406290 bytes, variables length: 381
  Category: 2017/cps/basic/dec, File Size: 406290 bytes, variables length: 381
  Category: 2018/cps/basic/dec, File Size: 406320 bytes, variables length: 381
  Category: 2019/cps/basic/dec, File Size: 406320 bytes, variables length: 381
  Category: 2020/cps/basic/dec, File Size: 423127 bytes, variables length: 392
  Category: 2021/cps/basic/dec, File Size: 423692 bytes, variables length: 396
  Category: 2022/cps/basic/dec, File Size: 420863 bytes, variables length: 396
  Category: 2023/cps/basic/dec, File Size: 421203 bytes, variables length: 397
  Category: 2024/cps/basic/dec, File Size: 424216 bytes, variables length: 401
Dataset Name: cps/basic/feb
  Category: 1989/cps/basic/feb, File Size: 153742 bytes, variables length: 238
  Category: 1990/cps/basic/feb, File Size: 153742 bytes, variables length: 238
  Category: 1991/cps/basic/feb, File Size: 153742 bytes, variables length: 238
  Category: 1992/cps/basic/feb, File Size: 153976 bytes, variables length: 237
  Category: 1993/cps/basic/feb, File Size: 153976 bytes, variables length: 237
  Category: 1994/cps/basic/feb, File Size: 369770 bytes, variables length: 349
  Category: 1995/cps/basic/feb, File Size: 369770 bytes, variables length: 349
  Category: 1996/cps/basic/feb, File Size: 373919 bytes, variables length: 353
  Category: 1997/cps/basic/feb, File Size: 373420 bytes, variables length: 352
  Category: 1998/cps/basic/feb, File Size: 381700 bytes, variables length: 363
  Category: 1999/cps/basic/feb, File Size: 381201 bytes, variables length: 362
  Category: 2000/cps/basic/feb, File Size: 383093 bytes, variables length: 364
  Category: 2001/cps/basic/feb, File Size: 383093 bytes, variables length: 364
  Category: 2002/cps/basic/feb, File Size: 383125 bytes, variables length: 364
  Category: 2003/cps/basic/feb, File Size: 403714 bytes, variables length: 366
  Category: 2004/cps/basic/feb, File Size: 403824 bytes, variables length: 366
  Category: 2005/cps/basic/feb, File Size: 403386 bytes, variables length: 357
  Category: 2006/cps/basic/feb, File Size: 408115 bytes, variables length: 364
  Category: 2007/cps/basic/feb, File Size: 411717 bytes, variables length: 365
  Category: 2008/cps/basic/feb, File Size: 411717 bytes, variables length: 365
  Category: 2009/cps/basic/feb, File Size: 421927 bytes, variables length: 378
  Category: 2010/cps/basic/feb, File Size: 423267 bytes, variables length: 379
  Category: 2011/cps/basic/feb, File Size: 427197 bytes, variables length: 379
  Category: 2012/cps/basic/feb, File Size: 427227 bytes, variables length: 379
  Category: 2013/cps/basic/feb, File Size: 406171 bytes, variables length: 380
  Category: 2014/cps/basic/feb, File Size: 413019 bytes, variables length: 388
  Category: 2015/cps/basic/feb, File Size: 406260 bytes, variables length: 381
  Category: 2016/cps/basic/feb, File Size: 406290 bytes, variables length: 381
  Category: 2017/cps/basic/feb, File Size: 406290 bytes, variables length: 381
  Category: 2018/cps/basic/feb, File Size: 406320 bytes, variables length: 381
  Category: 2019/cps/basic/feb, File Size: 406320 bytes, variables length: 381
  Category: 2020/cps/basic/feb, File Size: 423127 bytes, variables length: 392
  Category: 2021/cps/basic/feb, File Size: 423692 bytes, variables length: 396
  Category: 2022/cps/basic/feb, File Size: 423722 bytes, variables length: 396
  Category: 2023/cps/basic/feb, File Size: 421203 bytes, variables length: 397
  Category: 2024/cps/basic/feb, File Size: 421088 bytes, variables length: 397
Dataset Name: cps/basic/jan
  Category: 1989/cps/basic/jan, File Size: 153742 bytes, variables length: 238
  Category: 1990/cps/basic/jan, File Size: 153742 bytes, variables length: 238
  Category: 1991/cps/basic/jan, File Size: 153742 bytes, variables length: 238
  Category: 1992/cps/basic/jan, File Size: 153976 bytes, variables length: 237
  Category: 1993/cps/basic/jan, File Size: 153976 bytes, variables length: 237
  Category: 1994/cps/basic/jan, File Size: 369770 bytes, variables length: 349
  Category: 1995/cps/basic/jan, File Size: 369770 bytes, variables length: 349
  Category: 1996/cps/basic/jan, File Size: 373919 bytes, variables length: 353
  Category: 1997/cps/basic/jan, File Size: 373420 bytes, variables length: 352
  Category: 1998/cps/basic/jan, File Size: 381700 bytes, variables length: 363
  Category: 1999/cps/basic/jan, File Size: 381201 bytes, variables length: 362
  Category: 2000/cps/basic/jan, File Size: 383093 bytes, variables length: 364
  Category: 2001/cps/basic/jan, File Size: 383093 bytes, variables length: 364
  Category: 2002/cps/basic/jan, File Size: 383125 bytes, variables length: 364
  Category: 2003/cps/basic/jan, File Size: 403714 bytes, variables length: 366
  Category: 2004/cps/basic/jan, File Size: 403824 bytes, variables length: 366
  Category: 2005/cps/basic/jan, File Size: 404097 bytes, variables length: 358
  Category: 2006/cps/basic/jan, File Size: 408115 bytes, variables length: 364
  Category: 2007/cps/basic/jan, File Size: 411717 bytes, variables length: 365
  Category: 2008/cps/basic/jan, File Size: 411717 bytes, variables length: 365
  Category: 2009/cps/basic/jan, File Size: 421927 bytes, variables length: 378
  Category: 2010/cps/basic/jan, File Size: 423267 bytes, variables length: 379
  Category: 2011/cps/basic/jan, File Size: 427197 bytes, variables length: 379
  Category: 2012/cps/basic/jan, File Size: 427227 bytes, variables length: 379
  Category: 2013/cps/basic/jan, File Size: 406171 bytes, variables length: 380
  Category: 2014/cps/basic/jan, File Size: 413019 bytes, variables length: 388
  Category: 2015/cps/basic/jan, File Size: 406260 bytes, variables length: 381
  Category: 2016/cps/basic/jan, File Size: 406290 bytes, variables length: 381
  Category: 2017/cps/basic/jan, File Size: 406290 bytes, variables length: 381
  Category: 2018/cps/basic/jan, File Size: 406320 bytes, variables length: 381
  Category: 2019/cps/basic/jan, File Size: 406320 bytes, variables length: 381
  Category: 2020/cps/basic/jan, File Size: 423127 bytes, variables length: 392
  Category: 2021/cps/basic/jan, File Size: 423692 bytes, variables length: 396
  Category: 2022/cps/basic/jan, File Size: 423722 bytes, variables length: 396
  Category: 2023/cps/basic/jan, File Size: 421203 bytes, variables length: 397
  Category: 2024/cps/basic/jan, File Size: 421088 bytes, variables length: 397
  Category: 2025/cps/basic/jan, File Size: 425202 bytes, variables length: 401
Dataset Name: cps/basic/jul
  Category: 1989/cps/basic/jul, File Size: 153742 bytes, variables length: 238
  Category: 1990/cps/basic/jul, File Size: 153742 bytes, variables length: 238
  Category: 1991/cps/basic/jul, File Size: 153742 bytes, variables length: 238
  Category: 1992/cps/basic/jul, File Size: 153976 bytes, variables length: 237
  Category: 1993/cps/basic/jul, File Size: 153976 bytes, variables length: 237
  Category: 1994/cps/basic/jul, File Size: 369770 bytes, variables length: 349
  Category: 1995/cps/basic/jul, File Size: 370481 bytes, variables length: 350
  Category: 1996/cps/basic/jul, File Size: 373919 bytes, variables length: 353
  Category: 1997/cps/basic/jul, File Size: 373420 bytes, variables length: 352
  Category: 1998/cps/basic/jul, File Size: 381700 bytes, variables length: 363
  Category: 1999/cps/basic/jul, File Size: 381201 bytes, variables length: 362
